Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/luggage-c7/fenland-m10,47,26885,0.17%,4.91
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33/black-t1,47,8669,0.54%,4.95
https://www.leathercompany.co.uk/collonil-m18,47,3489,1.35%,14.18
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/bordeaux-t56,47,1819,2.58%,8.58
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/john-partridge-m37,46,57433,0.08%,5.06
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/sheepskin-duffle-coat-tobacco-lynette-p880,46,51560,0.09%,5.56
https://www.leathercompany.co.uk/ladies-c3/patent-leather-small-cross-body-bag-black-aw0020-p5307,46,4510,1.02%,16.75
https://www.leathercompany.co.uk/sheepskin-fur-c5/mens-sheepskin-jackets-c35/xxl-t20,46,1766,2.6%,14.42
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/size-3xl-t27,45,77167,0.06%,6.5
https://www.leathercompany.co.uk/sheepskin-fur-c5/mens-sheepskin-jackets-c35/classic-sheepskin-coat-brown-churchill-p3082,45,17176,0.26%,11.75
https://www.leathercompany.co.uk/handbags-c6/green-t6,45,14341,0.31%,30.17
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/vegetable-tanned-leather-biker-jacket-tan-mcqueen-p2295,45,8645,0.52%,7.94
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-fight-club-jacket-black-durden-p1386,45,6262,0.72%,16.41
https://www.leathercompany.co.uk/handbags-c6/one-size-t41,45,1327,3.39%,9.77
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bugatti-m51/xl-t19,45,833,5.4%,10.42
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/size-xs-t15,45,598,7.53%,7.6
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-red-velvet-fen-ladies-p4043,44,22898,0.19%,33.88
https://www.leathercompany.co.uk/mens-c4/mens-leather-belts-c49/ashwood-mens-leather-belt-navy-ab-02-p3125,44,14304,0.31%,33.35
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blouson-casual-styles-c123/leather-shirt-jacket-black-essex-p1504,44,9364,0.47%,30.28
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/black-t1,44,6619,0.66%,19.26
https://www.leathercompany.co.uk/gift-accessories-c8/ashwood-a4-leather-book-cover-copper-brown-p6737,44,4765,0.92%,18.09
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/leather-gloves-tan-401-p290,44,4175,1.05%,8.13
https://www.leathercompany.co.uk/gift-accessories-c8/leather-aprons-c198/ashwood-m1,44,315,13.97%,9.73
https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/taupe-t57,43,7931,0.54%,14.49
https://www.leathercompany.co.uk/mens-c4/leather-detachable-hood-puffer-jacket-white-nello-p6541,42,21688,0.19%,22.97
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/white-t13,42,7538,0.56%,21.65
https://www.leathercompany.co.uk/ladies-c3/ashwood-m1,42,3535,1.19%,15.7
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-brown-tum-charles-p917,41,59787,0.07%,16.48
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/sheepskin-slippers-black-silver-ladies-booties-p4045,41,16618,0.25%,40.91
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/jeans-trousers-c128/leather-trousers-black-766-p1624,41,10634,0.39%,31.61
https://www.leathercompany.co.uk/handbags-c6/john-partridge-m37,41,5962,0.69%,5.73
https://www.leathercompany.co.uk/handbags-c6/raspberry-t87,41,2203,1.86%,8.32
https://www.leathercompany.co.uk/luggage-c7/leather-weekend-holdall-brown-tum-gladstone-p340,41,1795,2.28%,18.76
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948,40,56582,0.07%,15.6
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/side-zip-ribbed-leather-biker-jacket-black-napp-constantine-p2290,40,16077,0.25%,7.6
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/suede-and-leather-luxury-laptop-bag-navy-winston-p4327,40,9630,0.42%,34
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-powder-blue-fen-ladies-p4041,40,9552,0.42%,29.13
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/mens-rfid-protected-leather-wallet-black-mud-fen-552-p7404,40,2430,1.65%,26.16
https://www.leathercompany.co.uk/handbags-c6/brandy-t83,39,47010,0.08%,5.5
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ashwood-stitch-detail-leather-gloves-black-733-p1639,39,6746,0.58%,14.42
https://www.leathercompany.co.uk/blog/clean-leather-handbag/,39,5999,0.65%,38.26
https://www.leathercompany.co.uk/handbags-c6/turquoise-t80,39,5699,0.68%,12.53
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-earmuffs-c186,39,3018,1.29%,14.95
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/cognac-t46,39,2923,1.33%,13.87
https://www.leathercompany.co.uk/gift-accessories-c8/footwear-c39/fenland-m10,39,750,5.2%,9.35
https://www.leathercompany.co.uk/ladies-c3/ladies-leather-biker-jacket-black-perfecto-p6681,38,100065,0.04%,6.54
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/trapper-m33,38,87663,0.04%,6.34
