date,Campaign,Interactions,Costs,Clicks
2023-12-21,UK | Search | Ladies Leather Coat,38.0,24.79,38.0
2023-12-21,UK | PMax | Mens Leather Jackets > HP,185.0,20.0,31.0
2023-12-21,UK | PMax | Deals for Him,42.0,19.52,42.0
2023-12-21,UK | Ashwood (General),28.0,16.62,28.0
2023-12-21,UK | PMax | Zombie 3,175.0,14.19,24.0
2023-12-21,UK | PMax | Holdalls > HP,36.0,10.68,23.0
2023-12-21,UK | PMax | Ladies Sheepskin Jackets > HP,148.0,5.74,20.0
2023-12-21,UK | PMax | Mens Sheepskin Footwear,26.0,5.69,9.0
2023-12-21,UK | Shopping | Mens Leather Jackets,10.0,2.56,10.0
2023-12-21,Store Solihull - DO NOT Touch,668.0,1.19,
2023-12-21,UK | PMax | Ladies Leather Jackets > HP,175.0,1.08,5.0
2023-12-20,UK | PMax | Catchall,1265.0,416.4,484.0
2023-12-20,UK | PMax | High ROAS 3.5>,1977.0,360.43,502.0
2023-12-20,"UK | PMax | Man Bags, Briefcases > HP",300.0,121.17,146.0
2023-12-20,UK | PMax | Low ROAS <3.5,136.0,94.66,117.0
2023-12-20,UK | Leather > General,130.0,92.82,130.0
2023-12-20,"UK | PMax | Luggage, Handbags, Purses",971.0,87.01,256.0
2023-12-20,IRE | PMax | Catchall,205.0,72.67,188.0
2023-12-20,UK | PMax | Ladies Coats & Jackets > HP,443.0,72.44,74.0
2023-12-20,UK | Leather Bag > Broad,91.0,66.34,91.0
2023-12-20,EU | PMax | Catchall,459.0,59.22,198.0
2023-12-20,UK | Leather Luggage | Broad,39.0,56.64,39.0
2023-12-20,UK | PMax | Zombie 4,101.0,55.57,98.0
2023-12-20,UK | PMax | Mens Edinburgh Leather Jacket,184.0,53.04,166.0
2023-12-20,UK | Search | Brand | tROAS,72.0,45.65,72.0
2023-12-20,UK | PMax | Zombie 5,67.0,34.83,64.0
2023-12-20,UK | Search | Ladies Leather Coat,50.0,32.26,50.0
2023-12-20,UK | PMax | Zombie 2,49.0,29.38,45.0
2023-12-20,UK | PMax | Deals for Him,41.0,25.3,41.0
2023-12-20,UK | Ashwood (General),37.0,25.16,37.0
2023-12-20,UK | PMax | Holdalls > HP,42.0,22.79,28.0
2023-12-20,UK | PMax | Zombie 6,241.0,20.24,53.0
2023-12-20,UK | PMax | Ladies Sheepskin Jackets > HP,210.0,17.67,32.0
2023-12-20,UK | PMax | Zombie 7,132.0,15.73,32.0
2023-12-20,UK | PMax | Mens Leather Jackets > HP,205.0,14.93,32.0
2023-12-20,UK | PMax | Zombie 3,357.0,14.83,34.0
2023-12-20,UK | PMax | Mens Sheepskin Footwear,32.0,14.59,19.0
2023-12-20,UK | PMax | Zombie 1,114.0,14.37,30.0
2023-12-20,UK | PMax | Ladies Leather Jackets > HP,143.0,2.24,63.0
2023-12-20,UK | Shopping | Mens Leather Jackets,5.0,1.28,5.0
2023-12-20,Store Solihull - DO NOT Touch,553.0,0.84,
2023-12-19,UK | PMax | High ROAS 3.5>,2062.0,453.51,611.0
2023-12-19,UK | PMax | Catchall,1075.0,439.59,520.0
2023-12-19,UK | Leather > General,159.0,132.05,159.0
2023-12-19,"UK | PMax | Man Bags, Briefcases > HP",362.0,120.21,153.0
2023-12-19,UK | PMax | Low ROAS <3.5,187.0,109.3,170.0
2023-12-19,UK | Leather Luggage | Broad,66.0,106.91,66.0
2023-12-19,IRE | PMax | Catchall,225.0,105.35,195.0
2023-12-19,UK | Search | Brand | tROAS,66.0,96.19,66.0
2023-12-19,UK | PMax | Zombie 4,98.0,93.52,98.0
2023-12-19,UK | PMax | Ladies Coats & Jackets > HP,292.0,76.35,67.0
2023-12-19,EU | PMax | Catchall,533.0,75.82,254.0
2023-12-19,UK | PMax | Mens Edinburgh Leather Jacket,174.0,68.35,145.0
2023-12-19,"UK | PMax | Luggage, Handbags, Purses",957.0,55.62,199.0
2023-12-19,UK | Leather Bag > Broad,88.0,53.83,88.0
2023-12-19,UK | Search | Ladies Leather Coat,50.0,48.76,50.0
2023-12-19,UK | PMax | Zombie 5,51.0,31.37,48.0
2023-12-19,UK | PMax | Zombie 7,107.0,29.46,38.0
2023-12-19,UK | PMax | Holdalls > HP,148.0,25.98,36.0
2023-12-19,UK | PMax | Zombie 2,67.0,25.96,58.0
2023-12-19,UK | Ashwood (General),36.0,21.95,36.0
2023-12-19,UK | PMax | Zombie 1,160.0,21.21,39.0
2023-12-19,UK | PMax | Deals for Him,40.0,20.78,39.0
2023-12-19,UK | PMax | Mens Leather Jackets > HP,221.0,20.61,47.0
2023-12-19,UK | PMax | Zombie 6,342.0,17.98,41.0
2023-12-19,UK | PMax | Zombie 3,417.0,17.3,31.0
2023-12-19,UK | PMax | Ladies Sheepskin Jackets > HP,126.0,11.5,25.0
2023-12-19,UK | PMax | Mens Sheepskin Footwear,18.0,5.28,10.0
2023-12-19,UK | PMax | Ladies Leather Jackets > HP,344.0,2.77,57.0
2023-12-19,UK | Shopping | Mens Leather Jackets,8.0,2.29,8.0
2023-12-19,Store Solihull - DO NOT Touch,497.0,1.01,
2023-12-18,UK | PMax | High ROAS 3.5>,1897.0,528.76,709.0
2023-12-18,UK | PMax | Catchall,1014.0,405.3,533.0
2023-12-18,"UK | PMax | Man Bags, Briefcases > HP",302.0,150.0,190.0
2023-12-18,UK | Leather > General,160.0,131.98,160.0
2023-12-18,UK | PMax | Low ROAS <3.5,214.0,120.29,173.0
2023-12-18,IRE | PMax | Catchall,262.0,119.2,224.0
2023-12-18,UK | Search | Brand | tROAS,97.0,87.65,97.0
2023-12-18,UK | Leather Luggage | Broad,63.0,86.72,63.0
2023-12-18,UK | Leather Bag > Broad,95.0,79.63,95.0
2023-12-18,EU | PMax | Catchall,532.0,76.92,301.0
2023-12-18,UK | PMax | Mens Edinburgh Leather Jacket,284.0,72.04,231.0
2023-12-18,"UK | PMax | Luggage, Handbags, Purses",1673.0,66.08,227.0
2023-12-18,UK | PMax | Ladies Coats & Jackets > HP,331.0,62.28,90.0
2023-12-18,UK | Search | Ladies Leather Coat,30.0,49.95,30.0
2023-12-18,UK | PMax | Zombie 5,89.0,48.69,82.0
2023-12-18,UK | PMax | Zombie 2,77.0,39.58,73.0
2023-12-18,UK | PMax | Zombie 4,76.0,36.07,74.0
2023-12-18,UK | PMax | Deals for Him,56.0,30.51,56.0
2023-12-18,UK | PMax | Zombie 7,113.0,29.84,55.0
2023-12-18,UK | PMax | Holdalls > HP,116.0,27.48,32.0
2023-12-18,UK | PMax | Zombie 6,231.0,25.78,49.0
2023-12-18,UK | PMax | Mens Leather Jackets > HP,278.0,19.51,38.0
2023-12-18,UK | PMax | Zombie 1,151.0,16.09,35.0
2023-12-18,UK | Ashwood (General),29.0,15.77,29.0
2023-12-18,UK | PMax | Zombie 3,282.0,13.01,29.0
2023-12-18,UK | PMax | Mens Sheepskin Footwear,42.0,9.85,18.0
2023-12-18,UK | PMax | Ladies Sheepskin Jackets > HP,66.0,8.41,28.0
2023-12-18,UK | PMax | Ladies Leather Jackets > HP,387.0,4.55,99.0
2023-12-18,UK | Shopping | Mens Leather Jackets,14.0,3.72,14.0
2023-12-18,Store Solihull - DO NOT Touch,336.0,0.69,
2023-12-17,UK | PMax | Catchall,1362.0,570.63,745.0
2023-12-17,UK | PMax | High ROAS 3.5>,2143.0,505.12,663.0
2023-12-17,IRE | PMax | Catchall,368.0,140.86,316.0
2023-12-17,"UK | PMax | Man Bags, Briefcases > HP",387.0,135.75,173.0
2023-12-17,UK | PMax | Ladies Coats & Jackets > HP,218.0,104.98,125.0
2023-12-17,UK | PMax | Zombie 4,123.0,92.12,123.0
2023-12-17,EU | PMax | Catchall,718.0,88.56,337.0
2023-12-17,"UK | PMax | Luggage, Handbags, Purses",1401.0,82.3,301.0
2023-12-17,UK | Leather > General,111.0,77.67,111.0
2023-12-17,UK | PMax | Low ROAS <3.5,128.0,70.85,109.0
2023-12-17,UK | PMax | Zombie 2,101.0,70.01,99.0
2023-12-17,UK | Leather Luggage | Broad,52.0,67.43,52.0
2023-12-17,UK | PMax | Mens Edinburgh Leather Jacket,168.0,56.2,141.0
2023-12-17,UK | Leather Bag > Broad,100.0,50.81,100.0
2023-12-17,UK | Search | Brand | tROAS,69.0,45.38,69.0
2023-12-17,UK | Search | Ladies Leather Coat,44.0,44.24,44.0
2023-12-17,UK | PMax | Deals for Him,52.0,28.85,52.0
2023-12-17,UK | PMax | Zombie 6,366.0,28.47,55.0
2023-12-17,UK | PMax | Zombie 7,93.0,27.44,54.0
2023-12-17,UK | PMax | Zombie 1,167.0,23.34,51.0
2023-12-17,UK | PMax | Mens Sheepskin Footwear,52.0,20.63,33.0
2023-12-17,UK | PMax | Mens Leather Jackets > HP,400.0,20.03,47.0
2023-12-17,UK | PMax | Holdalls > HP,92.0,17.94,25.0
2023-12-17,UK | PMax | Zombie 3,473.0,16.89,33.0
2023-12-17,UK | PMax | Zombie 5,40.0,16.1,37.0
2023-12-17,UK | Ashwood (General),16.0,10.25,16.0
2023-12-17,UK | PMax | Ladies Sheepskin Jackets > HP,87.0,9.52,17.0
2023-12-17,UK | Shopping | Mens Leather Jackets,12.0,3.1,12.0
2023-12-17,UK | PMax | Ladies Leather Jackets > HP,165.0,2.82,70.0
2023-12-17,Store Solihull - DO NOT Touch,312.0,0.74,
2023-12-16,UK | PMax | High ROAS 3.5>,2361.0,496.49,681.0
2023-12-16,UK | PMax | Catchall,1094.0,377.98,527.0
2023-12-16,"UK | PMax | Luggage, Handbags, Purses",783.0,192.86,291.0
2023-12-16,EU | PMax | Catchall,473.0,94.73,264.0
2023-12-16,UK | PMax | Zombie 4,108.0,89.63,104.0
2023-12-16,IRE | PMax | Catchall,216.0,87.32,197.0
2023-12-16,UK | PMax | Zombie 6,400.0,76.48,132.0
2023-12-16,UK | PMax | Ladies Coats & Jackets > HP,117.0,66.36,74.0
2023-12-16,UK | Leather Luggage | Broad,55.0,66.2,55.0
2023-12-16,UK | PMax | Zombie 3,305.0,65.18,104.0
2023-12-16,UK | PMax | Zombie 5,99.0,60.99,94.0
2023-12-16,UK | PMax | Zombie 2,95.0,60.52,93.0
2023-12-16,UK | Leather > General,76.0,59.21,76.0
2023-12-16,"UK | PMax | Man Bags, Briefcases > HP",233.0,54.35,77.0
2023-12-16,UK | Leather Bag > Broad,89.0,53.28,89.0
2023-12-16,UK | PMax | Low ROAS <3.5,113.0,51.22,91.0
2023-12-16,UK | PMax | Mens Edinburgh Leather Jacket,220.0,48.2,125.0
2023-12-16,UK | PMax | Ladies Leather Jackets > HP,249.0,41.54,125.0
2023-12-16,UK | Search | Brand | tROAS,58.0,32.37,58.0
2023-12-16,UK | PMax | Mens Leather Jackets > HP,772.0,24.49,50.0
2023-12-16,UK | Search | Ladies Leather Coat,32.0,23.81,32.0
2023-12-16,UK | PMax | Ladies Winter Specials,251.0,22.04,47.0
2023-12-16,UK | Ashwood (General),34.0,16.88,34.0
2023-12-16,UK | PMax | Zombie 7,84.0,15.4,33.0
2023-12-16,UK | PMax | Mens Sheepskin Footwear,47.0,15.18,27.0
2023-12-16,UK | PMax | Zombie 1,133.0,14.27,31.0
2023-12-16,UK | PMax | Deals for Him,30.0,11.5,29.0
2023-12-16,UK | PMax | Holdalls > HP,140.0,10.67,38.0
2023-12-16,UK | PMax | Ladies Sheepskin Jackets > HP,62.0,5.43,19.0
2023-12-16,UK | Shopping | Mens Leather Jackets,14.0,4.0,14.0
2023-12-16,Store Solihull - DO NOT Touch,335.0,1.16,
2023-12-15,"UK | PMax | Luggage, Handbags, Purses",1825.0,565.26,840.0
2023-12-15,UK | PMax | High ROAS 3.5>,1524.0,520.59,578.0
2023-12-15,UK | PMax | Zombie 6,589.0,308.7,404.0
2023-12-15,UK | PMax | Catchall,823.0,266.31,371.0
2023-12-15,UK | PMax | Zombie 3,733.0,239.94,281.0
2023-12-15,EU | PMax | Catchall,648.0,174.92,411.0
2023-12-15,UK | PMax | Ladies Winter Specials,496.0,166.32,161.0
2023-12-15,UK | PMax | Ladies Leather Jackets > HP,454.0,128.74,234.0
2023-12-15,IRE | PMax | Catchall,225.0,92.46,169.0
2023-12-15,UK | PMax | Zombie 4,181.0,74.51,96.0
2023-12-15,UK | PMax | Mens Edinburgh Leather Jacket,359.0,62.24,238.0
2023-12-15,UK | Search | Brand | tROAS,63.0,51.46,63.0
2023-12-15,UK | PMax | Low ROAS <3.5,182.0,49.59,169.0
2023-12-15,UK | Leather > General,46.0,39.76,46.0
2023-12-15,"UK | PMax | Man Bags, Briefcases > HP",316.0,36.18,51.0
2023-12-15,UK | PMax | Mens Leather Jackets > HP,769.0,35.4,54.0
2023-12-15,UK | Search | Ladies Leather Coat,39.0,34.32,39.0
2023-12-15,UK | Leather Bag > Broad,66.0,31.95,66.0
2023-12-15,UK | PMax | Zombie 7,109.0,30.14,38.0
2023-12-15,UK | PMax | Zombie 1,107.0,28.37,37.0
2023-12-15,UK | PMax | Zombie 2,53.0,26.48,50.0
2023-12-15,UK | Leather Luggage | Broad,18.0,19.74,18.0
2023-12-15,UK | Ashwood (General),31.0,19.12,31.0
2023-12-15,UK | PMax | Deals for Him,116.0,17.06,35.0
2023-12-15,UK | PMax | Zombie 5,26.0,14.06,21.0
2023-12-15,UK | PMax | Mens Sheepskin Footwear,112.0,12.96,28.0
2023-12-15,UK | PMax | Ladies Sheepskin Jackets > HP,76.0,8.8,13.0
2023-12-15,UK | PMax | Holdalls > HP,38.0,5.22,8.0
2023-12-15,UK | Shopping | Mens Leather Jackets,11.0,2.98,11.0
2023-12-15,UK | PMax | Ladies Coats & Jackets > HP,15.0,1.91,3.0
2023-12-15,Store Solihull - DO NOT Touch,437.0,1.29,
2023-12-14,"UK | PMax | Luggage, Handbags, Purses",2109.0,663.1,956.0
2023-12-14,UK | PMax | High ROAS 3.5>,1925.0,548.72,618.0
2023-12-14,UK | PMax | Zombie 3,844.0,325.52,399.0
2023-12-14,UK | PMax | Zombie 6,459.0,232.07,332.0
2023-12-14,UK | PMax | Catchall,686.0,212.32,325.0
2023-12-14,EU | PMax | Catchall,974.0,173.52,511.0
2023-12-14,UK | PMax | Ladies Winter Specials,398.0,129.86,176.0
