NumberType: GTIN-13,,,,,,,,,
Prefix: 506099970,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060999700188,Active,HARRY | BRIDGE/VT | Size:ONE SIZE,HARRY | BRIDGE/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Bridge/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/medium-weekend-leather-holdall-bridge-vt-harry-p6468,N/A,0002448900,14/11/2022 13:22:52
5060999708368,Active,AWL-281 | GREY | Size:14,AWL-281 | GREY | Size:14 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171304,14/07/2023 10:07:43
5060999708375,Active,AWL-281 | GREY | Size:16,AWL-281 | GREY | Size:16 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171305,14/07/2023 10:08:35
5060999708382,Active,AWL-281 | GREY | Size:18,AWL-281 | GREY | Size:18 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171306,14/07/2023 10:09:22
5060999708399,Active,AWL-281 | GREY | Size:20,AWL-281 | GREY | Size:20 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171307,14/07/2023 10:10:14
5060999708405,Active,AWL-281 | GREY | Size:22,AWL-281 | GREY | Size:22 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171308,14/07/2023 10:11:02
5060999708412,Active,AWL-281 | GREY | Size:24,AWL-281 | GREY | Size:24 | Ashwood Leather Jacket Grey: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546,N/A,0004171309,14/07/2023 10:11:45
5060999706975,Active,62967 | BLK MULTI | Size:ONE SIZE,62967 | BLK MULTI | Size:ONE SIZE | Ashwood Croc and Snake Print Leather Handbag Black/multi: 62967,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-croc-and-snake-print-leather-handbag-black-multi-62967-p5766,N/A,0004210700,23/05/2023 15:50:54
5060999708429,Active,AWL-281 | TAN | Size:8,AWL-281 | TAN | Size:8 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270201,14/07/2023 10:30:10
5060999708436,Active,AWL-281 | TAN | Size:10,AWL-281 | TAN | Size:10 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270202,14/07/2023 10:30:53
5060999708443,Active,AWL-281 | TAN | Size:12,AWL-281 | TAN | Size:12 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270203,14/07/2023 10:31:42
5060999708450,Active,AWL-281 | TAN | Size:14,AWL-281 | TAN | Size:14 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270204,14/07/2023 10:32:30
5060999708467,Active,AWL-281 | TAN | Size:16,AWL-281 | TAN | Size:16 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270205,14/07/2023 10:33:13
5060999708474,Active,AWL-281 | TAN | Size:18,AWL-281 | TAN | Size:18 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270206,14/07/2023 10:33:56
5060999708481,Active,AWL-281 | TAN | Size:20,AWL-281 | TAN | Size:20 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270207,14/07/2023 10:35:01
5060999708498,Active,AWL-281 | TAN | Size:22,AWL-281 | TAN | Size:22 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270208,14/07/2023 10:35:44
5060999709501,Active,AWL-281 | TAN | Size:24,AWL-281 | TAN | Size:24 | Ashwood Leather Jacket Tan: Aliona,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-jacket-tan-aliona-p5831,N/A,0004270209,14/07/2023 10:36:36
5060999702564,Active,J-10 | WINTER SKY | Size:ONE SIZE,J-10 | WINTER SKY | Size:ONE SIZE | Ashwood Womens Leather Hobo Bag Winter Sky: J-10,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-hobo-bag-winter-sky-j-10-p5891,N/A,0004281300,07/02/2023 12:37:11
5060999702540,Active,J-10 | BLK/LEOPARD | Size:ONE SIZE,J-10 | BLK/LEOPARD | Size:ONE SIZE | Ashwood Womens Leather Hobo Bag Black/leopard: J-10,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-hobo-bag-black-leopard-j-10-p5889,N/A,0004281400,07/02/2023 12:34:22
5060999702557,Active,J-10 | PEACH WHIP | Size:ONE SIZE,J-10 | PEACH WHIP | Size:ONE SIZE | Ashwood Womens Leather Hobo Bag Peach Whip: J-10,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-hobo-bag-peach-whip-j-10-p5890,N/A,0004281500,07/02/2023 12:35:55
5060999702571,Active,J-10 | WOOD ROSE | Size:ONE SIZE,J-10 | WOOD ROSE | Size:ONE SIZE | Ashwood Womens Leather Hobo Bag Wood Rose: J-10,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-hobo-bag-wood-rose-j-10-p5892,N/A,0004281600,07/02/2023 12:38:08
5060999702618,Active,J-11 | WOOD ROSE | Size:ONE SIZE,J-11 | WOOD ROSE | Size:ONE SIZE | Ashwood Medium Leather Cross Body Bag Wood Rose: J-11,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-medium-leather-cross-body-bag-wood-rose-j-11-p5896,N/A,0004281700,07/02/2023 12:45:38
5060999702601,Active,J-11 | WINTER SKY | Size:ONE SIZE,J-11 | WINTER SKY | Size:ONE SIZE | Ashwood Medium Leather Cross Body Bag Winter Sky: J-11,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-medium-leather-cross-body-bag-winter-sky-j-11-p5895,N/A,0004281800,07/02/2023 12:44:32
5060999702595,Active,J-11 | PEACH WHIP | Size:ONE SIZE,J-11 | PEACH WHIP | Size:ONE SIZE | Ashwood Medium Leather Cross Body Bag Peach Whip: J-11,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-medium-leather-cross-body-bag-peach-whip-j-11-p5894,N/A,0004281900,07/02/2023 12:43:43
