# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240131
# End date: 20240227
Landing page,Sessions,Users,New users,Engagement rate,Bounce rate,Average engagement time per session,Conversions,Total revenue
/sheepskin-fur-c5/sheepskin-footwear-c46/dinosos-classic-9-vintage-sheepskin-biker-boots-brown-p4229/s14942,136,126,108,0.5514705882352942,0.4485294117647059,20.13235294117647,0,0
/ladies-c3/sheepskin-jackets-c11/sheepskin-coat-tan-olivia-p850/s4685,135,99,73,0.4740740740740741,0.5259259259259259,17.844444444444445,0,0
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brown-cream-leo-p955/s5295,134,102,73,0.40298507462686567,0.5970149253731343,12.977611940298507,0,0
/ladies-c3/ashwood-leather-crossbody-bag-black-cb-3-63014-p6779/s20113,133,121,103,0.6466165413533834,0.3533834586466165,37.82706766917293,1,34.98
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-deep-lake-64064-p7915/s23049,133,116,85,0.6541353383458647,0.3458646616541353,40.49624060150376,0,0
/mens-c4/mens-nappa-leather-jacket-teddy-lining-cognac-trap-mica-p5799/s17950,133,107,85,0.42105263157894735,0.5789473684210527,17.39097744360902,0,0
/ladies-c3/tab-small-zip-top-leather-cross-body-bag-tan-p4342/s15098,132,110,87,0.5227272727272727,0.4772727272727273,40.24242424242424,0,0
/ladies-c3/leather-jackets-c9/ladies-waterfall-front-leather-jacket-black-diva-p7747/s22738,131,102,81,0.5572519083969466,0.44274809160305345,47.9236641221374,1,189.05
/ladies-c3/medium-weekend-leather-holdall-cognac-croc-harry-p6469/s19633,131,118,95,0.7557251908396947,0.24427480916030533,49.89312977099237,2,385.95
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-cognac-d-84-p4302/s15023,130,106,79,0.43846153846153846,0.5615384615384615,16.615384615384617,1,54.98
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5241,130,109,84,0.5153846153846153,0.4846153846153846,40.42307692307692,1,209
/handbags-c6/ashwood-c30/vintage-leather-cross-body-shoulder-bag-brandy-g22-p3613/s13044,128,112,77,0.6640625,0.3359375,26.765625,0,0
/newsletter/unsubscribe,128,113,90,0.6796875,0.3203125,9.75,0,0
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074/s18647,125,111,93,0.48,0.52,21.648,0,0
