# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Landing page,Country,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/delivery-returns-i5,United Kingdom,1021,798,230,0.4299706170421156,87.50538687561215,50,7077.500183
/ladies-c3/ladies-leather-jacket-ivory-serefina-p6001/s18488,United Kingdom,1021,921,797,0.6013712047012733,36.14005876591577,2,129
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s762,Ukraine,1011,890,782,0.4619188921859545,15.025717111770524,0,0
/gift-accessories-c8/purses-c36/ashwood-m1,United Kingdom,1004,944,823,0.6593625498007968,80.47709163346613,9,269.82
(not set),Pakistan,1002,602,109,0.06287425149700598,29.350299401197606,0,0
/ladies-c3/sheepskin-fingerless-patch-mittens-grey-p734-p6676/s19983,United Kingdom,999,856,750,0.4594594594594595,24.666666666666668,7,264.86
/luggage-c7/mens-weekend-leather-travel-holdall-mud-vt-albert-p629/s4096,United Kingdom,998,904,811,0.6613226452905812,35.8066132264529,4,519.1
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s767,United Kingdom,990,806,698,0.4484848484848485,17.43030303030303,0,0
/ladies-c3/sheepskin-jackets-c11/sheepskin-coat-tobacco-olivia-p851/s4693,United Kingdom,989,872,746,0.49848331648129424,15.893832153690596,1,749.99
/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-black-zelda-p1241/s6307,United Kingdom,987,929,852,0.5491388044579534,30.768996960486323,2,405.1
/map,United Kingdom,984,824,449,0.5132113821138211,72.65243902439025,2,115.98
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-black-p189/s1034,United Kingdom,983,845,718,0.5310274669379451,39.18718209562564,16,444.76
/ladies-c3/purses-c22/vintage-woven-leather-medium-18-card-purse-turquise-d-83-p6365/s19315,United Kingdom,978,917,809,0.5961145194274029,44.49079754601227,14,299.84
/ladies-c3/ladies-jackets-coats-c181,United Kingdom,977,854,615,0.6253838280450358,91.65301944728762,3,567
/ladies-c3/14-card-rfid-protected-xl-leather-purse-black-s2-p6709/s20039,United Kingdom,969,868,662,0.6150670794633643,34.847265221878224,7,312.86
