NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061049600939""",Active,"AWL-2003: Size 20, Black - Ladies Biker Jacket","AWL-2003: Size 20, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:38:35"""
"=""5061049600946""",Active,"AWL-2003: Size 22, Black - Ladies Biker Jacket","AWL-2003: Size 22, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:39:20"""
"=""5061049600953""",Active,"AWL-2003: Size 24, Black - Ladies Biker Jacket","AWL-2003: Size 24, Black - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-black-awl-2003-p8130,,,"=""29/02/2024 16:40:00"""
"=""5061049600960""",Active,"AWL-2003: Size 8, Tan - Ladies Biker Jacket","AWL-2003: Size 8, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:45:20"""
"=""5061049600977""",Active,"AWL-2003: Size 10, Tan - Ladies Biker Jacket","AWL-2003: Size 10, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:46:48"""
"=""5061049600984""",Active,"AWL-2003: Size 12, Tan - Ladies Biker Jacket","AWL-2003: Size 12, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:47:16"""
"=""5061049600991""",Active,"AWL-2003: Size 14, Tan - Ladies Biker Jacket","AWL-2003: Size 14, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:48:03"""
"=""5061049601004""",Active,"AWL-2003: Size 16, Tan - Ladies Biker Jacket","AWL-2003: Size 16, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:48:36"""
"=""5061049601011""",Active,"AWL-2003: Size 18, Tan - Ladies Biker Jacket","AWL-2003: Size 18, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:49:33"""
"=""5061049601028""",Active,"AWL-2003: Size 20, Tan - Ladies Biker Jacket","AWL-2003: Size 20, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:50:05"""
"=""5061049601035""",Active,"AWL-2003: Size 22, Tan - Ladies Biker Jacket","AWL-2003: Size 22, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:50:33"""
"=""5061049601042""",Active,"AWL-2003: Size 24, Tan - Ladies Biker Jacket","AWL-2003: Size 24, Tan - Ladies Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-mandarin-collar-ladies-biker-jacket-tan-awl-2003-p8131,,,"=""29/02/2024 16:51:16"""
"=""5061049601059""",Active,"AWL-265: Size 8, Tan - Ladies Mandarin Collar Biker Jacket","AWL-265: Size 8, Tan - Ladies Mandarin Collar Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-mandarin-collar-biker-jacket-tan-awl-265-p8061,,"=""4977401""","=""01/03/2024 11:18:09"""
"=""5061049601066""",Active,"AWL-265: Size 10, Tan - Ladies Mandarin Collar Biker Jacket","AWL-265: Size 10, Tan - Ladies Mandarin Collar Biker Jacket",Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-mandarin-collar-biker-jacket-tan-awl-265-p8062,,"=""4977402""","=""01/03/2024 11:18:09"""
