Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-black-v-22-p3830/s13911,74,118,48.0,29.0,44.59%,21s,0.0,£0.00,1.5945945945945945
/ladies-c3/ashwood-single-australian-sheepskin-rug-ochre-p6301/s19172,74,188,70.0,57.0,68.92%,33s,1.0,£43.99,2.5405405405405403
/gift-accessories-c8/ladies-gloves-c38,73,219,71.0,63.0,72.60%,52s,1.0,£33.48,3.0
/ladies-c3/leather-jackets-c9/tan-t25,73,195,69.0,60.0,75.34%,1m 02s,0.0,£0.00,2.671232876712329
/mens-c4/leather-jackets-c25/bugatti-m51,73,121,69.0,68.0,53.42%,21s,0.0,£0.00,1.6575342465753424
/mens-c4/man-bags-briefcases-c12/washbags-c114/vintage-leather-luxury-wash-bag-with-tubular-mouth-opening-tan-seb-p2937/s10368,73,205,63.0,52.0,64.38%,58s,4.0,£207.94,2.808219178082192
/sheepskin-fur-c5/mens-sheepskin-jackets-c35/sheepskin-coat-whisky-denver-p1514/s7529,73,142,57.0,35.0,50.68%,18s,0.0,£0.00,1.9452054794520548
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7753,72,108,63.0,54.0,33.33%,7s,0.0,£0.00,1.5
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1451,72,175,60.0,39.0,59.72%,35s,1.0,£178.50,2.4305555555555554
/brampton-m25,71,146,66.0,61.0,77.46%,48s,1.0,£89.00,2.056338028169014
/handbags-c6/ashwood-c30/vintage-leather-cross-body-shoulder-bag-black-g22-p3612/s13043,71,178,47.0,31.0,61.97%,36s,0.0,£0.00,2.507042253521127
/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,71,134,69.0,60.0,71.83%,34s,0.0,£0.00,1.8873239436619718
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s2409,71,146,60.0,38.0,59.15%,29s,0.0,£0.00,2.056338028169014
/luggage-c7/carry-on-case-c34,70,154,66.0,58.0,64.29%,44s,0.0,£0.00,2.2
/luggage-c7/holdall-c15/ashwood-m1,70,245,64.0,50.0,62.86%,1m 15s,0.0,£0.00,3.5
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-taupe-d-84-p4309/s15030,69,145,62.0,49.0,43.48%,12s,0.0,£0.00,2.101449275362319
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-black-p189/s1034,69,219,53.0,38.0,63.77%,43s,1.0,£34.98,3.1739130434782608
/handbags-c6/cross-body-bag-c87/ashwood-m1,68,242,65.0,51.0,77.94%,1m 45s,0.0,£0.00,3.5588235294117645
/mens-c4/leather-jackets-c25/blue-t2,68,168,62.0,55.0,75%,59s,2.0,£653.00,2.4705882352941178
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1272,68,154,56.0,38.0,58.82%,47s,0.0,£0.00,2.264705882352941
/about-us-i1,67,444,62.0,31.0,34.33%,2m 18s,0.0,£0.00,6.626865671641791
/ladies-c3/ashwood-a4-leather-book-cover-brandy-p6763/s20093,67,184,61.0,50.0,46.27%,38s,2.0,£65.39,2.746268656716418
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-black-alaska-p881/s4991,67,68,67.0,64.0,13.43%,0s,0.0,£0.00,1.0149253731343284
/mens-c4/leather-jackets-c25/tan-t25,67,194,62.0,55.0,71.64%,1m 00s,1.0,£299.00,2.8955223880597014
/ladies-c3/toscana-suede-leather-gilet-honey-kashmina-p6679/s19995,66,193,62.0,52.0,56.06%,36s,0.0,£0.00,2.9242424242424243
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4929,66,150,40.0,34.0,68.18%,43s,1.0,£152.15,2.272727272727273
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948,66,91,65.0,56.0,18.18%,11s,0.0,£0.00,1.378787878787879
/handbags-c6/ashwood-three-section-leather-tote-shoulder-bag-green-z-73-p7004/s20753,65,167,48.0,39.0,70.77%,48s,0.0,£0.00,2.5692307692307694
/ladies-c3/14-card-rfid-protected-xl-leather-purse-black-s2-p6709/s20039,65,128,55.0,42.0,58.46%,33s,0.0,£0.00,1.9692307692307693
/ladies-c3/leather-handbags-c10/real-leather-tote-bag-black-63754-p7884/s23018,65,262,37.0,24.0,60%,1m 04s,1.0,£80.00,4.030769230769231
/luggage-c7/leather-tablet-a4-sleeves-c151/vegetable-tanned-leather-document-holder-chestnut-a4-sleeve-p3339/s12360,65,153,61.0,53.0,73.85%,47s,0.0,£0.00,2.353846153846154
/sheepskin-fur-c5/ashwood-lucky-sheep-mink-p6016/s18524,65,121,55.0,39.0,55.38%,15s,0.0,£0.00,1.8615384615384616
/handbags-c6/cheltenham-croc-collection-c177,64,123,61.0,59.0,67.19%,30s,0.0,£0.00,1.921875
