Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/tan-t25,79,17592,0.45%,23
https://www.leathercompany.co.uk/handbags-c6/john-partridge-m37,79,7802,1.01%,5.86
https://www.leathercompany.co.uk/ladies-c3/ladies-jackets-coats-c181/size-24-t38,78,8759,0.89%,18.66
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/gabicci-m55/size-l-t18,78,1393,5.6%,6.38
https://www.leathercompany.co.uk/handbags-c6/shopper-bag-c83,77,26084,0.3%,31.8
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-brown-tum-charles-p917,76,107546,0.07%,19.43
https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-crossbody-smart-phone-bag-red-ph-2-p6777,75,8464,0.89%,19.09
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/the-bridge-m7,74,7157,1.03%,17.36
https://www.leathercompany.co.uk/sale/handbags-c6/ashwood-m1,74,6866,1.08%,30.04
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/briefcases-c112/brown-t3,74,6678,1.11%,10.52
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/shearling-style-c111,73,72863,0.1%,8.28
https://www.leathercompany.co.uk/ladies-c3/footwear-c21,73,33382,0.22%,37.49
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-leather-backpack-rucksack-chestnut-p330,72,107884,0.07%,17.67
https://www.leathercompany.co.uk/ladies-c3/purses-c22,72,34909,0.21%,37.26
https://www.leathercompany.co.uk/mens-c4/fenland-classic-mens-suede-sheepskin-moccasin-slippers-grey-p4088,71,46019,0.15%,34.92
https://www.leathercompany.co.uk/handbags-c6/backpacks-c89/ashwood-2-in-1-leather-backpack-handbag-black-62237-p2509,71,45324,0.16%,12.48
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/ladies-leather-gloves-black-nc-8914-p3926,71,16892,0.42%,23.92
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/tan-t25,71,14911,0.48%,22.31
https://www.leathercompany.co.uk/luggage-c7/trolleys-c33,71,12566,0.57%,9.08
https://www.leathercompany.co.uk/collonil-m18,71,5446,1.3%,20.78
https://www.leathercompany.co.uk/mens-c4/accessories-c27/leather-gun-slip-cognac-savoy-p606,70,2950,2.37%,17.77
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-coat-brown-hektor-p806,69,92899,0.07%,8.97
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-moccasin-slippers-light-grey-ladies-moccasins-p4053,69,86072,0.08%,26.76
https://www.leathercompany.co.uk/luggage-c7/fenland-m10,69,24916,0.28%,4.74
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/size-3xl-t27,68,66998,0.1%,6.67
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blouson-casual-styles-c123/leather-shirt-jacket-black-essex-p1504,68,12929,0.53%,26.28
https://www.leathercompany.co.uk/handbags-c6/raspberry-t87,68,5165,1.32%,8.09
https://www.leathercompany.co.uk/ladies-c3/handbags-c10/large-leather-handbag-black-vt-gina-p1049,67,27128,0.25%,15.97
https://www.leathercompany.co.uk/gift-accessories-c8/mens-leather-belts-c50/xxxl-t27,67,4647,1.44%,18.74
https://www.leathercompany.co.uk/ladies-c3/fur-coats-c77/mink-coat-brown-imola-p1417,66,39446,0.17%,17.99
